City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
248,bozkurt,41.9577,34.0109,20.18,60,39,2.25,TR,1728695419
249,coquimbo,-29.9533,-71.3436,13.85,81,0,3.09,CL,1728694909
250,stanley,54.868,-1.6985,5.01,85,0,4.12,GB,1728695422
251,ha'il,27.5219,41.6907,19.01,24,0,2.06,SA,1728695423
252,surovikino,48.6078,42.8486,5.79,94,0,3.99,RU,1728695424
253,arno,60.1167,18.6333,5.59,88,86,5.35,SE,1728695425
254,tazovsky,67.4667,78.7,-3.22,87,100,3.63,RU,1728695427
255,toguchin,55.2353,84.3858,-3.18,57,100,8.86,RU,1728695151
256,mount pearl,47.5166,-52.7813,9.52,91,35,3.13,CA,1728695429
257,barra de santo antonio,-9.4047,-35.5072,23.88,78,11,4.67,BR,1728695430
258,ullal,12.8,74.85,24.53,94,75,2.06,IN,1728695431
259,east london,-33.0153,27.9116,16.64,83,100,2.69,ZA,1728695432
260,revda,56.801,59.9303,-5.55,90,100,4.02,RU,1728695434
261,manicore,-5.8092,-61.3003,30.66,34,100,0.7,BR,1728695435
262,nadi,-17.8,177.4167,30.0,66,40,6.69,FJ,1728695436
263,harper,4.375,-7.7169,24.57,88,99,2.69,LR,1728695437
264,gamba,-2.65,10.0,24.48,90,100,2.22,GA,1728695438
265,sawakin,19.1059,37.3321,28.36,79,0,0.83,SD,1728695439
266,kuanda,56.3161,116.0806,-2.85,58,0,0.75,RU,1728695440
267,sitka,57.0531,-135.33,11.94,58,100,7.72,US,1728695442
268,kourou,5.1552,-52.6478,26.56,86,100,3.26,GF,1728695443
269,nova sintra,14.8667,-24.7167,27.58,79,100,8.98,CV,1728695444
270,breves,-1.6822,-50.4803,24.15,91,100,2.36,BR,1728695445
271,aykhal,66.0,111.5,-12.14,96,100,2.05,RU,1728695446
272,baruun-urt,46.6806,113.2792,7.36,48,12,2.64,MN,1728695447
273,sandnessjoen,66.0217,12.6316,6.88,56,100,14.35,NO,1728695449
274,puerto yuca,2.9383,-73.2083,25.71,75,95,0.55,CO,1728695450
275,fristad,65.2,16.7167,-1.61,91,61,2.87,SE,1728695451
276,bengkulu,-3.8004,102.2655,26.47,80,100,1.08,ID,1728695452
277,port moresby,-9.4431,147.1797,28.25,72,52,6.15,PG,1728695454
278,lianzhou,24.7811,112.3825,24.54,58,6,0.45,CN,1728695455
279,tubarjal,30.4999,38.216,21.82,47,0,5.03,SA,1728695456
280,albino,45.7638,9.7964,13.34,83,40,2.06,IT,1728695457
281,fish town,5.1964,-7.8756,21.62,99,100,1.14,LR,1728695458
282,colonia menno,-22.3667,-59.8167,22.39,59,0,2.94,PY,1728695459
283,ola,59.5833,151.2833,2.51,70,100,2.71,RU,1728695461
284,nyurba,63.2842,118.3319,-7.59,91,90,1.46,RU,1728695462
285,pangoa,-12.1167,-73.0,20.83,98,83,1.18,PE,1728695463
286,kambove,-10.8764,26.5969,16.82,52,82,1.43,CD,1728695464
287,buri ram,14.9943,103.1039,25.47,80,33,3.6,TH,1728695466
288,jamestown,42.097,-79.2353,14.45,60,0,6.17,US,1728695467
289,san antonio de pale,-1.4014,5.6325,24.98,82,79,4.36,GQ,1728695468
290,upington,-28.4478,21.2561,25.41,14,9,3.73,ZA,1728695469
291,kabansk,52.0486,106.6528,3.69,57,97,2.52,RU,1728695470
292,sinjar,36.3209,41.8754,24.21,35,98,2.05,IQ,1728695472
293,si satchanalai,17.5169,99.7598,25.29,92,22,1.14,TH,1728695473
294,kununurra,-15.7667,128.7333,31.99,40,4,2.57,AU,1728695474
295,kolonia town,6.964,158.206,31.06,74,75,4.12,FM,1728695476
296,savonlinna,61.8699,28.88,10.03,87,75,3.09,FI,1728695478
297,allende,25.2833,-100.0167,21.91,59,0,1.56,MX,1728695479
298,jutai,-5.1833,-68.9,24.34,87,71,1.35,BR,1728695474
299,matonga,-2.3833,34.0833,20.78,53,12,2.27,TZ,1728695482
300,zhosaly,45.4878,64.0781,7.29,60,80,4.2,KZ,1728695483
301,saint-joseph,-21.3667,55.6167,20.21,76,43,6.31,RE,1728695484
302,kuusamo,65.9667,29.1833,3.02,100,100,1.03,FI,1728695485
303,siwa oasis,29.2041,25.5195,27.72,31,0,2.39,EG,1728695487
304,itamaraca,-7.7478,-34.8256,23.81,76,79,4.06,BR,1728695488
305,san bernardo del viento,9.3533,-75.9524,27.36,76,97,3.27,CO,1728695489
306,sanibel,26.449,-82.0223,24.45,85,90,7.05,US,1728695491
307,robit,12.0167,39.6333,18.0,58,0,1.74,ET,1728695493
308,baiao,-2.7906,-49.6717,25.27,85,82,2.22,BR,1728695494
